Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Diameter,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,11.1,5,0.036,0.0054,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.1,8,0.334,0.014,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,15,0.28,0.0076,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.1,0,0.31,0.0174,1,0,0
Aluminum Alloy,35.45,2870,0.26,17.2,12,0.21,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.9,12,0.225,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,15.7,11,0.17,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,7,0.068,0.0155,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.7,7,0.13,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.6,0,0.167,0.0106,1,0,0
Aluminum Alloy,35.45,2870,0.26,24.9,11,0.017,0.0107,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,18,0.202,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.2,5,0.309,0.0162,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.0,12,0.065,0.017,1,0,0
Aluminum Alloy,35.45,2870,0.26,26.5,1,0.09,0.0176,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,17,0.202,0.0183,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,13,0.004,0.0165,0,0,0
Aluminum Alloy,35.45,2870,0.26,15.7,14,0.083,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.4,2,0.205,0.0041,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.2,5,0.281,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.7,11,0.055,0.0169,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.3,3,0.015,0.0016,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.8,6,0.189,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.6,10,0.184,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.0,0,0.257,0.0188,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,4,0.067,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.5,9,0.301,0.0065,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,2,0.279,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,13.5,0,0.272,0.021,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.1,5,0.234,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,8,0.232,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.4,12,0.198,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.8,11,0.339,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,3,0.236,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.3,2,0.008,0.005,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.0,12,0.26,0.0103,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.4,9,0.339,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.5,15,0.153,0.0072,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.8,4,0.164,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,11,0.117,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.1,14,0.319,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,18,0.052,0.0206,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,18,0.132,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,24.2,4,0.018,0.0062,1,1,0
Aluminum Alloy,35.45,2870,0.26,25.2,12,0.113,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.8,4,0.116,0.0182,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.8,13,0.172,0.0047,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,0,0.043,0.0037,1,1,0
Aluminum Alloy,35.45,2870,0.26,21.6,0,0.052,0.0169,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.5,8,0.195,0.0013,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.8,6,0.189,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.8,9,0.272,0.0181,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.0,2,0.273,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,7,0.135,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.6,0,0.247,0.0114,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.0,18,0.016,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,11,0.255,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.8,7,0.152,0.0198,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.6,13,0.088,0.013,1,0,0
Aluminum Alloy,35.45,2870,0.26,25.5,9,0.129,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,26.1,2,0.174,0.0169,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.6,10,0.071,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,7,0.036,0.0049,1,1,0
Aluminum Alloy,35.45,2870,0.26,26.8,14,0.14,0.0161,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,16,0.071,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,26.1,16,0.219,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,8,0.061,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.9,13,0.231,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.0,3,0.109,0.0173,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.2,11,0.271,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,1,0.258,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,11,0.179,0.0047,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.2,12,0.18,0.0069,0,0,0
Aluminum Alloy,35.45,2870,0.26,13.3,2,0.339,0.0035,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.5,3,0.239,0.0139,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,8,0.335,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.1,4,0.141,0.0137,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.9,14,0.058,0.0125,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.2,16,0.032,0.002,1,1,0
Aluminum Alloy,35.45,2870,0.26,13.9,13,0.157,0.0173,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.6,6,0.122,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,9,0.334,0.02,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,2,0.285,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.0,0,0.044,0.0151,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.7,2,0.19,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,25.6,14,0.03,0.0117,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.6,15,0.155,0.0145,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,3,0.108,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,4.0,16,0.036,0.0069,1,1,0
Aluminum Alloy,35.45,2870,0.26,5.7,16,0.094,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,6,0.212,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,10,0.316,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,13.6,4,0.046,0.0167,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,14,0.135,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.9,12,0.159,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.5,12,0.194,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.3,8,0.054,0.0086,1,1,0
Aluminum Alloy,35.45,2870,0.26,12.5,5,0.191,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,1,0.172,0.0092,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.4,0,0.161,0.0157,1,0,0
Aluminum Alloy,35.45,2870,0.26,17.9,10,0.076,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.1,5,0.037,0.0142,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.5,0,0.323,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,13,0.203,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.6,13,0.02,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,7,0.288,0.0125,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.9,4,0.075,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.2,2,0.248,0.0134,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.1,13,0.242,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.2,1,0.088,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,12,0.267,0.0115,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,7,0.244,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.4,5,0.101,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,4,0.207,0.0128,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.0,11,0.076,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,14.5,8,0.14,0.008,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.3,8,0.092,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.4,12,0.155,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.8,16,0.309,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.5,2,0.06,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,14.5,13,0.067,0.0095,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,10,0.33,0.003,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.5,1,0.223,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.6,1,0.292,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.8,1,0.058,0.0102,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,3,0.231,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.3,6,0.302,0.0088,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,14,0.317,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.4,3,0.304,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.8,7,0.136,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.1,5,0.315,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.4,6,0.164,0.0163,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.1,1,0.179,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,11.3,13,0.079,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,2,0.177,0.0141,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,7,0.266,0.0039,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,5,0.119,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.1,8,0.033,0.0146,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.4,16,0.18,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.4,17,0.33,0.0147,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.8,4,0.225,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.4,17,0.313,0.0106,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.0,0,0.069,0.0198,1,0,0
Aluminum Alloy,35.45,2870,0.26,4.9,11,0.21,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.6,5,0.268,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.7,10,0.237,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.5,18,0.123,0.0197,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.2,17,0.005,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.2,11,0.113,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,18,0.027,0.0167,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,14,0.17,0.0059,0,0,0
Aluminum Alloy,35.45,2870,0.26,29.9,1,0.305,0.0185,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.6,11,0.138,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.8,15,0.266,0.0072,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.0,16,0.16,0.0191,1,0,0
Aluminum Alloy,35.45,2870,0.26,18.9,18,0.144,0.0185,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.1,5,0.241,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,15.9,8,0.231,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.3,11,0.105,0.0172,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,12,0.315,0.0055,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.0,6,0.338,0.0198,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.0,3,0.061,0.0184,1,0,0
Aluminum Alloy,35.45,2870,0.26,13.7,13,0.305,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.3,17,0.309,0.0024,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.0,2,0.198,0.0091,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.7,18,0.065,0.0113,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.8,4,0.255,0.0134,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.6,4,0.26,0.01,1,0,0
Aluminum Alloy,35.45,2870,0.26,24.3,4,0.145,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,25.9,12,0.084,0.0059,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.5,16,0.032,0.0022,1,1,0
Aluminum Alloy,35.45,2870,0.26,27.2,14,0.318,0.018,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,6,0.124,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.7,17,0.228,0.0147,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.9,3,0.158,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.2,14,0.014,0.0112,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.7,11,0.088,0.0044,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.9,12,0.13,0.0017,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,13,0.016,0.0112,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.2,14,0.131,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.0,2,0.311,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.3,14,0.025,0.0029,1,1,0
Aluminum Alloy,35.45,2870,0.26,17.7,15,0.208,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.0,13,0.019,0.0116,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.3,4,0.143,0.0039,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.2,14,0.321,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.7,8,0.008,0.0127,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.5,4,0.054,0.0174,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.3,8,0.289,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,8,0.293,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,3,0.03,0.0101,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.1,8,0.218,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.7,15,0.245,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,24.2,9,0.018,0.0029,1,1,0
Aluminum Alloy,35.45,2870,0.26,27.6,10,0.2,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.9,10,0.127,0.0129,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.8,5,0.21,0.0166,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.7,8,0.135,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.5,18,0.088,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.4,13,0.046,0.0036,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.3,3,0.094,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.3,11,0.145,0.0202,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.8,14,0.334,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,28.2,4,0.197,0.018,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.7,10,0.153,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,16.5,4,0.326,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.4,8,0.136,0.0132,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.7,7,0.331,0.0192,0,0,0
