Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Depth,Width,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,88.6,7.9,100.7,0.086,0.009,1,1,0
Aluminum Alloy,35.45,2870,0.26,96.3,10.1,92.4,0.126,0.0064,0,0,0
Aluminum Alloy,35.45,2870,0.26,52.3,10.6,39.3,0.462,0.0024,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.4,7.7,57.3,0.349,0.0095,0,0,0
Aluminum Alloy,35.45,2870,0.26,31.2,6.9,95.2,0.082,0.0069,1,1,0
Aluminum Alloy,35.45,2870,0.26,65.5,10.1,10.8,0.5,0.0114,1,0,0
Aluminum Alloy,35.45,2870,0.26,94.8,8.1,46.2,0.164,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,85.2,9.6,73.1,0.092,0.017,1,0,0
Aluminum Alloy,35.45,2870,0.26,78.8,6.8,53.2,0.396,0.0164,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.1,8.8,89.5,0.262,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.0,7.0,23.9,0.186,0.0167,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.1,7.7,75.0,0.167,0.0183,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.5,10.6,38.5,0.477,0.0107,1,0,0
Aluminum Alloy,35.45,2870,0.26,86.9,7.7,85.5,0.389,0.0155,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.8,9.0,19.6,0.383,0.0199,1,0,0
Aluminum Alloy,35.45,2870,0.26,80.0,10.6,66.7,0.252,0.0137,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.9,6.9,26.5,0.415,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.6,9.1,62.2,0.11,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.1,10.8,29.7,0.113,0.0209,0,0,0
Aluminum Alloy,35.45,2870,0.26,64.4,7.9,70.9,0.185,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,78.4,10.2,35.7,0.275,0.0009,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.4,8.3,55.5,0.449,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,55.2,10.2,67.6,0.47,0.0184,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.5,6.4,60.6,0.376,0.0041,0,0,0
Aluminum Alloy,35.45,2870,0.26,47.2,9.4,23.0,0.336,0.0006,0,0,0
Aluminum Alloy,35.45,2870,0.26,94.9,7.7,75.9,0.203,0.0145,1,0,0
Aluminum Alloy,35.45,2870,0.26,49.6,6.9,52.0,0.299,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,70.5,7.1,99.4,0.215,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,84.9,7.0,56.4,0.069,0.0028,1,1,0
Aluminum Alloy,35.45,2870,0.26,62.6,10.5,93.8,0.048,0.0044,1,1,0
Aluminum Alloy,35.45,2870,0.26,70.2,9.3,78.5,0.505,0.0132,1,0,0
Aluminum Alloy,35.45,2870,0.26,49.8,6.1,30.3,0.185,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.4,9.3,35.9,0.513,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,10.8,86.2,0.436,0.0041,0,0,0
Aluminum Alloy,35.45,2870,0.26,79.2,10.1,92.5,0.546,0.0104,0,0,0
Aluminum Alloy,35.45,2870,0.26,58.4,10.7,63.9,0.344,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,49.1,7.4,79.7,0.01,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,89.7,7.7,85.3,0.237,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.5,9.9,18.3,0.275,0.0055,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.8,7.3,63.3,0.435,0.0155,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.7,7.6,29.6,0.144,0.0201,0,0,0
Aluminum Alloy,35.45,2870,0.26,71.3,8.4,24.0,0.526,0.0064,0,0,0
Aluminum Alloy,35.45,2870,0.26,57.1,6.6,46.1,0.464,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.8,8.4,94.9,0.007,0.0059,0,0,0
Aluminum Alloy,35.45,2870,0.26,50.3,9.4,40.7,0.012,0.0044,0,0,0
Aluminum Alloy,35.45,2870,0.26,55.6,7.0,45.7,0.269,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,73.7,8.8,27.7,0.073,0.0153,0,0,0
Aluminum Alloy,35.45,2870,0.26,58.8,7.0,97.7,0.259,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.8,6.9,82.6,0.539,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.1,10.0,94.3,0.443,0.0038,0,0,0
Aluminum Alloy,35.45,2870,0.26,38.4,9.8,96.5,0.425,0.0189,1,0,0
Aluminum Alloy,35.45,2870,0.26,36.0,8.2,77.8,0.385,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,65.7,10.5,52.4,0.28,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.5,11.0,13.6,0.279,0.0014,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.3,8.6,80.5,0.212,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.1,9.8,72.1,0.012,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,80.1,8.4,66.4,0.161,0.0119,1,0,0
Aluminum Alloy,35.45,2870,0.26,100.2,9.5,23.1,0.104,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,95.0,7.5,22.7,0.367,0.0005,0,0,0
Aluminum Alloy,35.45,2870,0.26,75.4,9.1,61.8,0.511,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.9,9.9,18.7,0.357,0.0136,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.6,10.8,74.3,0.229,0.0167,1,0,0
Aluminum Alloy,35.45,2870,0.26,50.5,9.6,43.6,0.008,0.0116,0,0,0
Aluminum Alloy,35.45,2870,0.26,76.1,10.3,53.3,0.005,0.0186,0,0,0
Aluminum Alloy,35.45,2870,0.26,40.2,6.0,98.7,0.538,0.0034,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.2,6.3,19.6,0.453,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,59.2,7.2,49.9,0.486,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,82.9,10.3,90.2,0.195,0.0116,1,0,0
Aluminum Alloy,35.45,2870,0.26,70.6,9.8,28.8,0.458,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,84.1,7.0,41.2,0.407,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,83.3,10.0,27.1,0.244,0.0202,0,0,0
Aluminum Alloy,35.45,2870,0.26,74.8,8.6,32.1,0.137,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,52.4,8.6,20.2,0.306,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,76.9,7.2,76.8,0.191,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,51.6,6.5,62.9,0.41,0.0193,1,0,0
Aluminum Alloy,35.45,2870,0.26,67.5,7.5,52.7,0.396,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,94.8,11.0,15.7,0.007,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.2,8.7,99.9,0.132,0.0166,1,0,0
Aluminum Alloy,35.45,2870,0.26,48.5,8.2,49.0,0.362,0.0189,1,0,0
Aluminum Alloy,35.45,2870,0.26,62.4,8.6,13.0,0.154,0.0153,1,0,0
Aluminum Alloy,35.45,2870,0.26,62.4,7.6,67.5,0.101,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,66.4,9.1,92.6,0.32,0.0144,1,0,0
Aluminum Alloy,35.45,2870,0.26,88.1,10.6,22.9,0.203,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,52.8,6.8,83.3,0.513,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,55.6,11.0,76.4,0.326,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,85.3,6.6,21.4,0.304,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,77.8,9.1,72.0,0.456,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,48.0,7.9,72.4,0.141,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,84.2,10.7,29.3,0.056,0.0034,1,1,0
Aluminum Alloy,35.45,2870,0.26,99.3,10.3,56.6,0.517,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,95.4,10.4,79.9,0.489,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.2,7.2,53.8,0.512,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,11.6,10.6,48.6,0.005,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.5,7.5,34.3,0.144,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,94.3,10.1,98.0,0.134,0.0124,1,0,0
Aluminum Alloy,35.45,2870,0.26,98.9,9.5,71.2,0.051,0.0073,1,1,0
Aluminum Alloy,35.45,2870,0.26,91.7,10.2,43.4,0.062,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,52.9,9.6,64.9,0.062,0.0033,1,1,0
Aluminum Alloy,35.45,2870,0.26,26.0,6.4,65.5,0.477,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.4,10.4,48.2,0.34,0.0128,1,0,0
Aluminum Alloy,35.45,2870,0.26,14.5,7.2,52.1,0.248,0.0181,1,0,0
Aluminum Alloy,35.45,2870,0.26,17.7,6.1,60.2,0.511,0.0048,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.9,6.9,25.5,0.176,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,21.8,10.6,90.9,0.369,0.0182,1,0,0
Aluminum Alloy,35.45,2870,0.26,99.8,6.1,79.1,0.217,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,33.8,6.6,24.6,0.483,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,51.3,6.8,54.7,0.155,0.0163,1,0,0
Aluminum Alloy,35.45,2870,0.26,79.0,8.3,32.6,0.298,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,82.4,10.7,32.9,0.01,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,95.1,6.5,95.0,0.008,0.015,0,0,0
Aluminum Alloy,35.45,2870,0.26,73.7,10.0,70.8,0.263,0.0166,1,0,0
Aluminum Alloy,35.45,2870,0.26,70.3,8.9,92.8,0.196,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.3,6.5,42.3,0.356,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.8,10.9,99.7,0.235,0.01,1,0,0
Aluminum Alloy,35.45,2870,0.26,80.7,6.8,74.5,0.513,0.0132,1,0,0
Aluminum Alloy,35.45,2870,0.26,18.3,8.8,68.8,0.08,0.0036,1,1,0
Aluminum Alloy,35.45,2870,0.26,36.1,10.5,21.8,0.215,0.0115,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.8,10.0,83.5,0.048,0.0081,1,1,0
Aluminum Alloy,35.45,2870,0.26,66.8,10.8,51.6,0.29,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,83.8,8.0,88.0,0.009,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.7,9.1,40.6,0.216,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,35.4,8.9,40.6,0.405,0.0193,1,0,0
Aluminum Alloy,35.45,2870,0.26,37.7,10.9,99.5,0.254,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.9,7.5,93.3,0.078,0.0051,1,1,0
Aluminum Alloy,35.45,2870,0.26,62.5,7.9,66.2,0.047,0.0162,0,0,0
Aluminum Alloy,35.45,2870,0.26,36.0,8.7,61.5,0.195,0.007,0,0,0
Aluminum Alloy,35.45,2870,0.26,40.5,7.8,95.3,0.112,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,76.6,7.7,97.6,0.097,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,49.4,10.1,13.4,0.545,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,79.5,6.7,35.6,0.25,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,76.4,9.8,42.2,0.159,0.0116,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.4,6.3,80.1,0.536,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,87.3,8.8,12.6,0.457,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,65.7,10.4,99.2,0.286,0.0091,0,0,0
Aluminum Alloy,35.45,2870,0.26,70.4,8.2,22.6,0.18,0.0151,1,0,0
Aluminum Alloy,35.45,2870,0.26,65.9,10.2,75.3,0.278,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,47.1,7.5,63.6,0.478,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,13.9,7.4,42.2,0.291,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.5,9.1,21.6,0.323,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,59.8,10.2,43.3,0.049,0.0109,0,0,0
Aluminum Alloy,35.45,2870,0.26,45.0,9.9,40.9,0.101,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,78.8,9.0,10.4,0.422,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.9,8.3,11.8,0.467,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.7,6.8,73.0,0.204,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,90.6,7.6,92.1,0.108,0.0055,0,0,0
Aluminum Alloy,35.45,2870,0.26,84.0,8.8,75.6,0.489,0.003,0,0,0
Aluminum Alloy,35.45,2870,0.26,55.7,11.0,52.7,0.305,0.0029,0,0,0
Aluminum Alloy,35.45,2870,0.26,57.0,10.3,63.4,0.393,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,43.6,8.0,42.9,0.515,0.0197,1,0,0
Aluminum Alloy,35.45,2870,0.26,58.3,10.4,34.9,0.437,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,66.2,9.8,51.3,0.383,0.0125,1,0,0
Aluminum Alloy,35.45,2870,0.26,95.6,6.9,26.6,0.225,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,90.2,8.1,26.1,0.501,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,81.7,10.4,99.0,0.255,0.0055,0,0,0
Aluminum Alloy,35.45,2870,0.26,50.9,8.8,25.7,0.188,0.0017,0,0,0
Aluminum Alloy,35.45,2870,0.26,67.5,8.9,22.4,0.11,0.0039,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.4,9.0,25.6,0.253,0.0136,1,0,0
Aluminum Alloy,35.45,2870,0.26,96.5,8.0,65.5,0.446,0.0126,1,0,0
Aluminum Alloy,35.45,2870,0.26,50.2,7.8,54.0,0.056,0.0033,1,1,0
Aluminum Alloy,35.45,2870,0.26,45.3,6.8,67.1,0.252,0.0069,0,0,0
Aluminum Alloy,35.45,2870,0.26,85.1,9.1,15.6,0.269,0.0152,1,0,0
Aluminum Alloy,35.45,2870,0.26,84.5,7.9,24.0,0.422,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.3,10.3,46.2,0.324,0.0173,1,0,0
Aluminum Alloy,35.45,2870,0.26,67.1,6.9,40.0,0.227,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,90.8,7.1,35.9,0.388,0.0119,1,0,0
Aluminum Alloy,35.45,2870,0.26,82.4,10.2,33.1,0.53,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,51.1,8.9,16.3,0.211,0.0163,1,0,0
Aluminum Alloy,35.45,2870,0.26,83.2,6.7,74.8,0.368,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,76.0,9.5,43.5,0.003,0.0003,0,0,0
Aluminum Alloy,35.45,2870,0.26,79.2,9.8,63.5,0.19,0.0069,0,0,0
Aluminum Alloy,35.45,2870,0.26,66.4,6.0,75.6,0.131,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,70.6,7.9,27.5,0.519,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.3,7.6,17.8,0.296,0.0103,1,0,0
Aluminum Alloy,35.45,2870,0.26,18.9,9.0,54.0,0.028,0.0187,0,0,0
Aluminum Alloy,35.45,2870,0.26,36.4,8.6,38.3,0.161,0.0164,1,0,0
Aluminum Alloy,35.45,2870,0.26,26.0,7.1,52.2,0.196,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,79.5,6.5,39.6,0.329,0.0047,0,0,0
Aluminum Alloy,35.45,2870,0.26,42.7,6.6,91.1,0.37,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.9,8.9,11.0,0.475,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.5,7.4,92.7,0.495,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,19.1,6.4,72.9,0.433,0.007,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.8,8.9,81.4,0.009,0.0151,0,0,0
Aluminum Alloy,35.45,2870,0.26,97.7,10.8,76.3,0.132,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,68.4,10.3,26.2,0.024,0.0135,0,0,0
Aluminum Alloy,35.45,2870,0.26,35.9,7.0,36.7,0.444,0.0209,0,0,0
Aluminum Alloy,35.45,2870,0.26,22.4,10.9,75.8,0.194,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,24.8,6.7,24.8,0.26,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,58.9,9.1,94.4,0.481,0.013,1,0,0
Aluminum Alloy,35.45,2870,0.26,74.6,9.3,78.0,0.108,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,67.0,10.1,63.9,0.251,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,37.9,10.0,43.5,0.23,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,93.1,10.9,23.7,0.054,0.0027,1,1,0
Aluminum Alloy,35.45,2870,0.26,26.3,6.6,68.6,0.271,0.0076,0,0,0
Aluminum Alloy,35.45,2870,0.26,83.9,6.2,35.9,0.342,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,98.0,9.5,15.4,0.236,0.0183,1,0,0
Aluminum Alloy,35.45,2870,0.26,87.3,8.0,45.2,0.423,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.4,8.9,79.0,0.283,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,94.8,10.3,70.7,0.546,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,63.7,6.8,38.8,0.468,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,40.0,9.9,44.9,0.44,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,17.1,9.2,66.9,0.241,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,70.0,6.1,62.6,0.28,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,99.1,9.6,39.4,0.399,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,57.5,6.9,19.1,0.296,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,60.4,6.3,83.8,0.327,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,84.5,9.6,33.4,0.347,0.0078,0,0,0
Aluminum Alloy,35.45,2870,0.26,47.4,10.7,20.8,0.072,0.0072,1,1,0
Aluminum Alloy,35.45,2870,0.26,58.1,6.4,70.2,0.184,0.0033,0,0,0
Aluminum Alloy,35.45,2870,0.26,100.9,9.1,36.7,0.505,0.0199,1,0,0
Aluminum Alloy,35.45,2870,0.26,74.4,9.5,92.3,0.246,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,71.7,8.8,77.8,0.206,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,63.4,9.9,83.9,0.452,0.0209,0,0,0
