Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Angle,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,7.7,26,0.025,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.0,42,0.086,0.0005,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,37,0.167,0.0166,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,25,0.173,0.013,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,28,0.135,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,40,0.132,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,25,0.195,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,34,0.106,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,38,0.177,0.0175,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,34,0.214,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,37,0.063,0.0143,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,45,0.05,0.0206,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,25,0.184,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,43,0.135,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,25,0.084,0.0172,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,31,0.039,0.0114,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,26,0.165,0.012,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.3,43,0.168,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,34,0.108,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,39,0.182,0.0105,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,29,0.1,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,41,0.179,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,39,0.121,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,28,0.14,0.0194,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,36,0.228,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,36,0.107,0.0197,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,29,0.117,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,44,0.019,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,38,0.042,0.0172,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,34,0.178,0.018,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,28,0.106,0.0195,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.1,37,0.099,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,29,0.168,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,43,0.112,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,31,0.107,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,44,0.074,0.0119,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,33,0.172,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,40,0.025,0.0049,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.3,27,0.15,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,37,0.226,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,32,0.086,0.0118,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,27,0.193,0.0014,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.1,36,0.221,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.0,39,0.046,0.0046,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.7,34,0.07,0.006,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.5,43,0.021,0.0149,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,38,0.13,0.0037,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,35,0.131,0.0184,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,29,0.037,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,44,0.197,0.0198,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,35,0.026,0.0184,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,42,0.216,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,41,0.023,0.0032,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.6,43,0.145,0.0008,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,39,0.209,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,37,0.013,0.0044,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,38,0.045,0.0009,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,27,0.166,0.0111,1,0,0
Aluminum Alloy,35.45,2870,0.26,11.0,45,0.207,0.01,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,44,0.016,0.0195,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,29,0.005,0.0192,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,25,0.076,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,25,0.026,0.0028,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.4,39,0.152,0.0129,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,28,0.075,0.0111,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,30,0.034,0.0041,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.3,31,0.007,0.0173,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.1,34,0.162,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,25,0.06,0.0112,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,27,0.014,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,25,0.181,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,42,0.097,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,30,0.017,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.3,37,0.129,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,45,0.156,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,37,0.163,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,43,0.157,0.0016,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,45,0.024,0.0032,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.0,31,0.133,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,33,0.193,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,11.0,45,0.078,0.0087,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.9,27,0.12,0.015,1,0,0
Aluminum Alloy,35.45,2870,0.26,11.0,45,0.202,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,34,0.158,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,43,0.098,0.021,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,32,0.062,0.0103,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,32,0.025,0.0074,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.0,27,0.098,0.0084,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.6,32,0.077,0.0029,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.7,26,0.101,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,45,0.007,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,40,0.171,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,31,0.059,0.0146,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,37,0.18,0.0038,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.3,36,0.056,0.015,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,39,0.177,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,39,0.199,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,35,0.016,0.0039,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,38,0.094,0.0004,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,31,0.151,0.0118,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,41,0.189,0.0069,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,33,0.196,0.0151,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,34,0.205,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,34,0.08,0.0112,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,30,0.024,0.0174,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,26,0.226,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,32,0.221,0.0136,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,25,0.059,0.0031,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.8,38,0.214,0.008,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.1,37,0.145,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,39,0.214,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,33,0.19,0.0185,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,42,0.081,0.0013,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.5,34,0.059,0.0028,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.4,36,0.068,0.0021,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.0,38,0.071,0.0138,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,37,0.126,0.0046,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,28,0.176,0.0105,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.5,32,0.095,0.0113,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,30,0.07,0.0161,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,38,0.006,0.0063,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,34,0.17,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,30,0.08,0.0163,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,44,0.069,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,41,0.141,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.3,40,0.184,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,29,0.093,0.005,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,34,0.124,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,43,0.178,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,31,0.204,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,43,0.149,0.0073,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,26,0.144,0.0201,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,43,0.164,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,34,0.091,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,38,0.139,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,41,0.111,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,29,0.042,0.0097,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.1,37,0.149,0.0196,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,25,0.194,0.0205,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,33,0.138,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,33,0.145,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,36,0.097,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,35,0.214,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,32,0.178,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,44,0.085,0.0096,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.4,28,0.128,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.3,28,0.144,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,29,0.104,0.0148,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,38,0.149,0.0055,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,41,0.103,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,40,0.039,0.017,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,43,0.158,0.0125,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.1,34,0.107,0.0017,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,32,0.027,0.0187,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,25,0.066,0.0113,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,28,0.186,0.0115,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,25,0.051,0.0018,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.4,30,0.193,0.0111,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,30,0.029,0.0045,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.8,37,0.144,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,35,0.171,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,38,0.131,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,29,0.126,0.0058,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,31,0.039,0.0198,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.6,42,0.031,0.0166,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,44,0.154,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,41,0.107,0.0097,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,41,0.037,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.5,45,0.034,0.0034,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.1,39,0.108,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,44,0.024,0.0065,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.2,38,0.196,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,39,0.088,0.0189,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,29,0.176,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.8,27,0.054,0.0179,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,39,0.218,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,44,0.104,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,38,0.104,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,26,0.171,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,38,0.19,0.0189,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,37,0.161,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,27,0.123,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,31,0.063,0.0047,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.7,33,0.024,0.0138,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,42,0.209,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,27,0.069,0.0029,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.5,45,0.11,0.0157,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,35,0.219,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,45,0.111,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,45,0.063,0.0185,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,37,0.225,0.0078,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,45,0.149,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,36,0.106,0.0101,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,45,0.186,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,45,0.017,0.0024,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,28,0.153,0.0042,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,42,0.165,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,40,0.154,0.0099,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,34,0.042,0.0115,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,32,0.15,0.0029,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,31,0.024,0.0066,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.1,42,0.167,0.0095,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,30,0.11,0.0121,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,43,0.158,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,25,0.142,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,33,0.145,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,33,0.113,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,36,0.156,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,33,0.148,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,39,0.211,0.0044,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,31,0.126,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,28,0.026,0.0053,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.8,35,0.196,0.0188,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.1,35,0.145,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,41,0.116,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.0,39,0.027,0.0131,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,38,0.219,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,33,0.189,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,11.0,32,0.126,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,41,0.011,0.009,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,37,0.132,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,43,0.225,0.0146,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,32,0.07,0.016,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.1,42,0.222,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,38,0.153,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,27,0.076,0.0023,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.6,35,0.228,0.0125,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,39,0.018,0.0005,1,1,1
Aluminum Alloy,35.45,2870,0.26,8.0,45,0.119,0.0152,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.5,25,0.093,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,38,0.116,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,39,0.122,0.0185,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,44,0.092,0.0092,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,45,0.008,0.0117,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,45,0.004,0.0173,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,36,0.14,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,41,0.197,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,25,0.057,0.0198,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,44,0.024,0.0057,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.0,32,0.036,0.0148,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,43,0.018,0.0004,1,1,1
Aluminum Alloy,35.45,2870,0.26,9.0,27,0.066,0.0105,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,39,0.102,0.016,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.1,41,0.121,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,43,0.021,0.0117,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,29,0.069,0.0169,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.6,38,0.192,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,27,0.135,0.0073,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,39,0.19,0.0038,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,28,0.164,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,28,0.006,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,44,0.026,0.0088,1,1,0
Aluminum Alloy,35.45,2870,0.26,9.8,44,0.012,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,45,0.142,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,26,0.066,0.0149,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,36,0.078,0.006,1,1,0
Aluminum Alloy,35.45,2870,0.26,6.2,39,0.066,0.0006,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,29,0.19,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,33,0.017,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,38,0.053,0.0075,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.5,36,0.081,0.0083,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.2,27,0.115,0.0174,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,39,0.22,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,38,0.046,0.0194,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,29,0.039,0.0091,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.9,35,0.158,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,42,0.199,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,40,0.05,0.0048,1,1,0
Aluminum Alloy,35.45,2870,0.26,8.0,37,0.189,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,29,0.191,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.0,45,0.093,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.2,26,0.229,0.0195,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,43,0.149,0.0033,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.3,34,0.208,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,40,0.042,0.0024,1,1,0
Aluminum Alloy,35.45,2870,0.26,10.5,39,0.151,0.0182,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,30,0.043,0.0064,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.9,38,0.098,0.008,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,25,0.089,0.0009,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,33,0.193,0.0202,0,0,0
