Material Type,Material Hardness Number,Desity,Poissons Ratio,Length,Depth,Width,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,52.8,10.3,60.4,0.309,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,73.9,12.8,70.2,0.113,0.0006,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,2.6,46.9,0.248,0.0039,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.0,6.6,73.8,0.372,0.0096,0,0,0
Aluminum Alloy,35.45,2870,0.26,69.4,1.7,23.4,0.422,0.0115,1,0,0
Aluminum Alloy,35.45,2870,0.26,44.8,9.1,68.7,0.433,0.0106,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.4,0.9,10.8,0.391,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,62.2,13.5,31.9,0.047,0.0008,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.1,10.6,58.2,0.257,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,37.8,16.6,48.2,0.255,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,68.4,1.9,64.0,0.024,0.01,1,1,0
Aluminum Alloy,35.45,2870,0.26,41.5,13.6,25.7,0.141,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,77.3,0.6,81.0,0.071,0.006,1,1,0
Aluminum Alloy,35.45,2870,0.26,53.2,0.9,10.5,0.125,0.005,0,0,0
Aluminum Alloy,35.45,2870,0.26,42.1,5.0,79.2,0.285,0.0048,0,0,0
Aluminum Alloy,35.45,2870,0.26,50.2,5.1,59.2,0.287,0.0098,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.1,9.0,17.8,0.312,0.003,0,0,0
Aluminum Alloy,35.45,2870,0.26,32.6,5.7,45.0,0.378,0.0136,1,0,0
Aluminum Alloy,35.45,2870,0.26,55.1,12.3,68.9,0.042,0.0037,1,1,0
Aluminum Alloy,35.45,2870,0.26,56.1,1.7,11.5,0.454,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.4,16.5,61.1,0.4,0.0201,0,0,0
Aluminum Alloy,35.45,2870,0.26,57.2,5.9,41.2,0.026,0.0083,1,1,0
Aluminum Alloy,35.45,2870,0.26,26.0,16.6,78.5,0.345,0.0132,1,0,0
Aluminum Alloy,35.45,2870,0.26,58.7,6.4,67.7,0.455,0.0147,1,0,0
Aluminum Alloy,35.45,2870,0.26,67.0,16.1,37.6,0.429,0.0119,1,0,0
Aluminum Alloy,35.45,2870,0.26,52.2,3.3,66.5,0.338,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,68.7,16.3,26.9,0.257,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,8.5,25.7,0.016,0.0065,0,0,0
Aluminum Alloy,35.45,2870,0.26,42.2,2.2,76.9,0.341,0.007,0,0,0
Aluminum Alloy,35.45,2870,0.26,77.4,11.9,40.7,0.252,0.0116,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.9,18.7,41.1,0.034,0.0132,0,0,0
Aluminum Alloy,35.45,2870,0.26,58.8,19.6,40.1,0.142,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.9,15.1,69.9,0.121,0.0163,1,0,0
Aluminum Alloy,35.45,2870,0.26,60.2,9.8,48.1,0.31,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.9,4.3,46.8,0.188,0.0145,1,0,0
Aluminum Alloy,35.45,2870,0.26,46.6,20.0,50.8,0.457,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,25.5,12.4,47.5,0.176,0.0005,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.4,20.0,31.7,0.059,0.0028,1,1,0
Aluminum Alloy,35.45,2870,0.26,13.4,14.3,65.4,0.443,0.0116,1,0,0
Aluminum Alloy,35.45,2870,0.26,43.0,14.6,11.7,0.201,0.0206,0,0,0
Aluminum Alloy,35.45,2870,0.26,71.5,5.4,43.0,0.252,0.0135,1,0,0
Aluminum Alloy,35.45,2870,0.26,46.1,4.5,40.7,0.452,0.0037,0,0,0
Aluminum Alloy,35.45,2870,0.26,59.4,9.2,8.5,0.081,0.0063,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.4,5.6,28.1,0.317,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,54.9,14.0,35.1,0.282,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,57.0,8.3,10.9,0.467,0.0135,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.8,2.4,7.7,0.234,0.019,1,0,0
Aluminum Alloy,35.45,2870,0.26,52.8,3.5,49.6,0.048,0.0149,0,0,0
Aluminum Alloy,35.45,2870,0.26,52.2,18.0,62.5,0.409,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,30.0,14.6,64.2,0.195,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.3,5.0,3.4,0.189,0.0004,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.9,0.5,52.0,0.334,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.4,14.6,16.4,0.234,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,46.6,2.1,17.0,0.34,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,68.5,1.5,76.3,0.351,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,13.0,62.9,0.009,0.0186,0,0,0
Aluminum Alloy,35.45,2870,0.26,44.1,12.0,30.8,0.049,0.0168,0,0,0
Aluminum Alloy,35.45,2870,0.26,13.8,6.4,23.0,0.14,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,52.8,13.2,77.3,0.093,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,11.9,24.2,0.021,0.0177,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.5,9.4,26.7,0.327,0.0167,1,0,0
Aluminum Alloy,35.45,2870,0.26,67.0,15.2,23.4,0.158,0.003,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.2,16.7,26.2,0.207,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,8.6,54.4,0.128,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,74.3,6.2,27.8,0.402,0.0034,0,0,0
Aluminum Alloy,35.45,2870,0.26,76.3,1.3,50.5,0.327,0.0009,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.3,3.0,33.5,0.25,0.0078,0,0,0
Aluminum Alloy,35.45,2870,0.26,32.6,11.0,4.9,0.164,0.009,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.7,18.1,10.8,0.341,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,50.0,5.9,12.4,0.432,0.0183,1,0,0
Aluminum Alloy,35.45,2870,0.26,74.0,15.9,61.5,0.068,0.016,0,0,0
Aluminum Alloy,35.45,2870,0.26,32.7,7.5,9.0,0.203,0.0095,0,0,0
Aluminum Alloy,35.45,2870,0.26,50.3,10.3,60.9,0.065,0.0088,1,1,0
Aluminum Alloy,35.45,2870,0.26,71.2,19.5,52.9,0.371,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.1,10.6,24.4,0.434,0.0088,0,0,0
Aluminum Alloy,35.45,2870,0.26,58.2,8.0,47.1,0.43,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,6.7,21.2,0.092,0.0173,1,0,0
Aluminum Alloy,35.45,2870,0.26,37.9,8.8,25.4,0.386,0.0013,0,0,0
Aluminum Alloy,35.45,2870,0.26,36.1,14.0,61.2,0.183,0.0194,1,0,0
Aluminum Alloy,35.45,2870,0.26,60.6,14.4,13.1,0.434,0.0105,1,0,0
Aluminum Alloy,35.45,2870,0.26,12.3,3.0,24.8,0.103,0.0139,1,0,0
Aluminum Alloy,35.45,2870,0.26,53.0,12.3,56.8,0.196,0.0155,1,0,0
Aluminum Alloy,35.45,2870,0.26,43.5,12.5,33.4,0.165,0.0036,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,7.0,17.6,0.035,0.0153,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,1.4,41.9,0.16,0.013,1,0,0
Aluminum Alloy,35.45,2870,0.26,52.4,15.5,4.6,0.005,0.0111,0,0,0
Aluminum Alloy,35.45,2870,0.26,39.1,7.0,12.3,0.292,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,37.7,11.1,53.8,0.228,0.0166,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.5,12.3,44.7,0.117,0.0148,1,0,0
Aluminum Alloy,35.45,2870,0.26,64.6,7.5,65.9,0.196,0.0023,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.2,9.6,47.0,0.306,0.0104,1,0,0
Aluminum Alloy,35.45,2870,0.26,45.9,14.9,23.4,0.012,0.0193,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.0,6.2,26.2,0.424,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.6,10.9,30.8,0.392,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,4.8,75.4,0.343,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,70.5,7.1,70.8,0.376,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,19.0,13.0,0.008,0.0167,0,0,0
Aluminum Alloy,35.45,2870,0.26,46.1,18.8,80.7,0.115,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,80.8,12.0,4.5,0.34,0.0061,0,0,0
Aluminum Alloy,35.45,2870,0.26,66.9,12.2,63.5,0.391,0.0145,1,0,0
Aluminum Alloy,35.45,2870,0.26,23.8,6.4,57.0,0.409,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,73.4,7.1,31.1,0.102,0.0202,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.0,17.9,40.2,0.469,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,70.8,4.9,37.9,0.212,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,77.7,1.9,70.4,0.047,0.0197,0,0,0
Aluminum Alloy,35.45,2870,0.26,37.2,3.8,35.4,0.285,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,42.8,0.2,29.1,0.067,0.0182,0,0,0
Aluminum Alloy,35.45,2870,0.26,61.3,14.8,60.4,0.118,0.0126,1,0,0
Aluminum Alloy,35.45,2870,0.26,19.4,9.9,69.1,0.04,0.0198,0,0,0
Aluminum Alloy,35.45,2870,0.26,25.6,10.4,22.2,0.282,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.8,20.6,24.7,0.366,0.0064,0,0,0
Aluminum Alloy,35.45,2870,0.26,54.1,17.5,50.8,0.046,0.0028,1,1,0
Aluminum Alloy,35.45,2870,0.26,48.8,19.2,51.0,0.25,0.0188,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.4,0.5,25.2,0.355,0.0134,1,0,0
Aluminum Alloy,35.45,2870,0.26,35.7,19.8,69.7,0.123,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,36.2,0.7,74.7,0.433,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,34.4,13.7,74.5,0.09,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,38.1,1.3,11.7,0.032,0.0041,1,1,0
Aluminum Alloy,35.45,2870,0.26,60.3,15.1,17.9,0.399,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,34.1,4.7,61.1,0.016,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.2,11.4,13.9,0.298,0.007,0,0,0
Aluminum Alloy,35.45,2870,0.26,34.0,19.5,51.1,0.175,0.0045,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.8,8.2,65.6,0.23,0.0094,0,0,0
Aluminum Alloy,35.45,2870,0.26,63.0,7.5,63.1,0.155,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,41.0,19.8,19.6,0.149,0.0092,0,0,0
Aluminum Alloy,35.45,2870,0.26,48.6,17.8,15.4,0.282,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,43.9,20.0,38.6,0.43,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.2,18.5,79.7,0.202,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,38.1,19.2,32.9,0.023,0.0108,0,0,0
Aluminum Alloy,35.45,2870,0.26,47.2,14.2,17.6,0.38,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,32.7,20.5,5.0,0.336,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,79.4,3.4,25.7,0.361,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,29.2,7.2,59.6,0.3,0.0118,1,0,0
Aluminum Alloy,35.45,2870,0.26,34.2,10.6,67.5,0.082,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,64.1,16.9,80.3,0.087,0.0144,1,0,0
Aluminum Alloy,35.45,2870,0.26,77.3,3.1,76.0,0.266,0.0146,1,0,0
Aluminum Alloy,35.45,2870,0.26,61.4,1.9,47.4,0.238,0.0051,0,0,0
Aluminum Alloy,35.45,2870,0.26,43.0,1.2,15.3,0.197,0.0127,1,0,0
Aluminum Alloy,35.45,2870,0.26,18.5,8.5,48.1,0.462,0.0155,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.6,11.6,37.5,0.329,0.0163,1,0,0
Aluminum Alloy,35.45,2870,0.26,25.1,1.2,28.6,0.362,0.0084,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.7,4.1,51.9,0.171,0.0196,1,0,0
Aluminum Alloy,35.45,2870,0.26,67.7,11.6,52.3,0.096,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.0,12.2,9.2,0.356,0.0113,1,0,0
Aluminum Alloy,35.45,2870,0.26,80.8,11.1,41.1,0.138,0.0073,0,0,0
Aluminum Alloy,35.45,2870,0.26,37.3,8.2,47.5,0.464,0.0207,0,0,0
Aluminum Alloy,35.45,2870,0.26,38.1,4.7,62.7,0.038,0.0106,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,10.2,70.3,0.076,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,20.9,18.0,14.2,0.448,0.0153,1,0,0
Aluminum Alloy,35.45,2870,0.26,49.5,17.4,29.3,0.133,0.0116,1,0,0
Aluminum Alloy,35.45,2870,0.26,32.2,4.3,29.6,0.381,0.0128,1,0,0
Aluminum Alloy,35.45,2870,0.26,28.4,7.8,36.0,0.383,0.0173,1,0,0
Aluminum Alloy,35.45,2870,0.26,65.5,9.6,70.6,0.446,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,71.9,18.6,12.1,0.074,0.0086,1,1,0
Aluminum Alloy,35.45,2870,0.26,65.4,9.6,72.3,0.312,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,24.3,18.1,31.6,0.381,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,77.7,13.8,70.9,0.302,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,18.9,4.8,48.2,0.025,0.0144,0,0,0
Aluminum Alloy,35.45,2870,0.26,74.4,7.0,67.0,0.441,0.0004,0,0,0
Aluminum Alloy,35.45,2870,0.26,45.0,0.7,70.8,0.229,0.017,1,0,0
Aluminum Alloy,35.45,2870,0.26,42.9,14.8,20.1,0.339,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,4.2,8.4,48.4,0.277,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,26.8,16.8,66.7,0.112,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,24.5,20.0,26.9,0.468,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,49.3,13.0,21.1,0.372,0.0162,1,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,7.6,26.8,0.275,0.0176,1,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,4.2,30.0,0.249,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,34.2,9.7,57.1,0.414,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,56.0,18.5,66.3,0.463,0.0105,0,0,0
Aluminum Alloy,35.45,2870,0.26,32.2,18.9,45.4,0.029,0.0058,1,1,0
Aluminum Alloy,35.45,2870,0.26,5.5,20.8,25.9,0.31,0.0152,1,0,0
Aluminum Alloy,35.45,2870,0.26,69.9,6.2,62.5,0.319,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.4,14.1,42.7,0.051,0.0154,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.8,2.7,24.8,0.46,0.0037,0,0,0
Aluminum Alloy,35.45,2870,0.26,47.7,6.9,20.5,0.333,0.0054,0,0,0
Aluminum Alloy,35.45,2870,0.26,59.6,17.3,50.1,0.085,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.0,13.7,41.2,0.348,0.0049,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.7,11.9,37.1,0.227,0.021,0,0,0
Aluminum Alloy,35.45,2870,0.26,67.5,6.3,37.5,0.273,0.019,1,0,0
Aluminum Alloy,35.45,2870,0.26,49.9,13.8,3.9,0.047,0.0195,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.4,6.4,36.1,0.204,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,7.8,11.8,77.2,0.41,0.0048,0,0,0
Aluminum Alloy,35.45,2870,0.26,72.9,16.5,63.0,0.226,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,5.8,20.6,48.3,0.077,0.0099,0,0,0
Aluminum Alloy,35.45,2870,0.26,59.0,1.0,15.5,0.126,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,80.1,5.2,35.8,0.131,0.0188,1,0,0
Aluminum Alloy,35.45,2870,0.26,17.2,4.6,27.8,0.345,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,21.4,15.3,31.2,0.347,0.0126,1,0,0
Aluminum Alloy,35.45,2870,0.26,46.8,11.3,21.8,0.41,0.0035,0,0,0
Aluminum Alloy,35.45,2870,0.26,44.1,12.8,72.6,0.033,0.0101,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.4,1.5,51.2,0.142,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,15.4,17.3,31.1,0.089,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,16.7,17.7,10.1,0.41,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,67.4,4.2,45.4,0.419,0.0025,0,0,0
Aluminum Alloy,35.45,2870,0.26,34.5,4.9,55.0,0.039,0.004,1,1,0
Aluminum Alloy,35.45,2870,0.26,74.6,11.7,6.0,0.271,0.0067,0,0,0
Aluminum Alloy,35.45,2870,0.26,80.6,13.5,23.2,0.094,0.0156,1,0,0
Aluminum Alloy,35.45,2870,0.26,30.8,20.3,44.1,0.253,0.0024,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,19.3,42.6,0.308,0.0188,1,0,0
Aluminum Alloy,35.45,2870,0.26,42.1,6.4,19.5,0.262,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,71.2,2.3,25.5,0.399,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,33.2,7.4,22.2,0.469,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,80.8,6.7,26.5,0.224,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,27.0,11.0,39.2,0.071,0.0102,0,0,0
Aluminum Alloy,35.45,2870,0.26,23.4,12.7,69.7,0.204,0.0128,1,0,0
Aluminum Alloy,35.45,2870,0.26,27.3,4.9,15.2,0.283,0.0033,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.1,20.9,73.5,0.13,0.0164,1,0,0
Aluminum Alloy,35.45,2870,0.26,17.2,18.4,10.5,0.196,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,14.6,3.4,43.1,0.245,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,48.7,14.7,65.3,0.145,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,76.8,5.3,80.3,0.313,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,20.7,10.6,59.1,0.046,0.0036,1,1,0
Aluminum Alloy,35.45,2870,0.26,65.1,10.7,74.1,0.142,0.0155,1,0,0
Aluminum Alloy,35.45,2870,0.26,22.7,3.0,27.9,0.342,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,40.6,10.6,11.3,0.309,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,37.1,13.0,67.5,0.177,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,40.6,18.0,62.8,0.257,0.0186,1,0,0
Aluminum Alloy,35.45,2870,0.26,48.3,18.0,80.2,0.332,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,18.1,6.3,33.0,0.073,0.003,1,1,0
Aluminum Alloy,35.45,2870,0.26,17.7,15.0,69.4,0.267,0.017,1,0,0
Aluminum Alloy,35.45,2870,0.26,59.3,4.0,6.0,0.219,0.0191,1,0,0
Aluminum Alloy,35.45,2870,0.26,31.6,14.4,67.1,0.044,0.0036,1,1,0
Aluminum Alloy,35.45,2870,0.26,7.9,7.4,53.9,0.21,0.0073,0,0,0
Aluminum Alloy,35.45,2870,0.26,71.1,10.1,10.2,0.112,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,74.9,8.3,75.3,0.054,0.0171,0,0,0
Aluminum Alloy,35.45,2870,0.26,34.8,7.1,77.6,0.278,0.0132,1,0,0
Aluminum Alloy,35.45,2870,0.26,56.5,2.1,42.1,0.446,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,49.0,16.9,18.4,0.134,0.0091,0,0,0
Aluminum Alloy,35.45,2870,0.26,45.1,0.3,7.8,0.334,0.0196,1,0,0
Aluminum Alloy,35.45,2870,0.26,49.5,5.0,8.3,0.285,0.01,1,0,0
Aluminum Alloy,35.45,2870,0.26,77.8,13.9,56.7,0.288,0.0121,1,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,18.6,47.9,0.084,0.0019,0,0,0
Aluminum Alloy,35.45,2870,0.26,48.6,2.8,73.5,0.29,0.0173,1,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,15.2,61.5,0.153,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,79.5,7.3,28.5,0.181,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,4.7,23.0,0.377,0.0084,0,0,0
Aluminum Alloy,35.45,2870,0.26,35.9,16.7,67.3,0.054,0.0019,1,1,0
Aluminum Alloy,35.45,2870,0.26,40.1,13.0,76.4,0.156,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,53.7,12.9,9.6,0.433,0.0118,1,0,0
Aluminum Alloy,35.45,2870,0.26,75.3,10.9,32.4,0.026,0.0058,1,1,0
Aluminum Alloy,35.45,2870,0.26,38.5,10.8,75.8,0.376,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,48.1,2.8,23.8,0.346,0.0196,1,0,0
Aluminum Alloy,35.45,2870,0.26,45.9,18.5,23.3,0.358,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,62.6,19.2,61.8,0.404,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,76.8,5.5,30.8,0.199,0.0088,0,0,0
Aluminum Alloy,35.45,2870,0.26,12.8,5.8,73.3,0.137,0.0141,1,0,0
Aluminum Alloy,35.45,2870,0.26,48.3,4.6,38.8,0.183,0.0064,0,0,0
