Material Type,Material Hardness Number,Desity,Poissons Ratio,Diameter,Depth,Tolerance,Surface finish,drilling,reaming,rough boring,finish boaring
Aluminum Alloy,35.45,2870,0.26,5.1,13,0.145,0.018,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,4.3,4,0.227,0.0111,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,7.3,9,0.166,0.08,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.9,12,0.092,0.0632,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,9,0.177,0.0527,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.5,10,0.091,0.0781,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.7,17,0.034,0.0554,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.7,6,0.073,0.078,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,10,0.197,0.028,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.9,6,0.222,0.0785,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,20,0.209,0.0495,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.1,20,0.098,0.0169,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.4,6,0.125,0.0192,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,8.5,15,0.046,0.0686,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,15,0.16,0.0183,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,0.6,1,0.101,0.0332,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.5,5,0.192,0.0263,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.3,16,0.128,0.0224,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,16,0.055,0.0468,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,11,0.25,0.0361,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,19,0.081,0.0372,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,16,0.162,0.0217,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.0,5,0.128,0.0069,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,9.9,16,0.049,0.0186,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.3,9,0.231,0.0794,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.5,3,0.132,0.0742,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.9,2,0.153,0.0665,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.1,5,0.151,0.0713,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,14,0.202,0.0664,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.4,13,0.069,0.0203,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,4,0.102,0.0446,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,13,0.268,0.0024,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,8,0.242,0.006,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,7.4,9,0.154,0.0034,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,0,0.199,0.0713,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.9,0,0.111,0.0699,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,4,0.126,0.0428,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.0,1,0.03,0.0402,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.6,18,0.267,0.0577,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.2,17,0.182,0.0145,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,9.0,20,0.123,0.0028,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,20,0.075,0.0189,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.0,6,0.24,0.0769,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,16,0.134,0.0575,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.4,14,0.161,0.062,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,12,0.22,0.0074,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,6.9,6,0.103,0.0596,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,2,0.272,0.0243,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,14,0.086,0.0232,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.3,11,0.181,0.0166,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,4.5,18,0.094,0.0281,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.1,11,0.036,0.0476,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,8,0.058,0.0371,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.0,19,0.179,0.0326,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,19,0.042,0.0333,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,5,0.126,0.0244,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.9,20,0.016,0.0243,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.7,5,0.096,0.0143,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.8,17,0.148,0.0693,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,15,0.063,0.0258,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.5,2,0.156,0.0084,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,10.5,8,0.132,0.0666,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,2,0.105,0.0571,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,7,0.067,0.0665,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,6,0.032,0.067,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.9,3,0.132,0.064,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,4,0.023,0.0369,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,17,0.138,0.0632,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.4,9,0.101,0.0163,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,2.1,15,0.074,0.0623,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.2,19,0.225,0.0221,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.8,3,0.224,0.0683,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.6,19,0.276,0.0104,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,5,0.15,0.0556,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.7,13,0.119,0.0709,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,16,0.027,0.0756,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.5,18,0.053,0.0148,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,12,0.094,0.0319,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.7,1,0.259,0.0486,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.7,7,0.274,0.0483,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.2,20,0.127,0.0392,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.4,16,0.22,0.0066,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,0.4,7,0.132,0.0472,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.9,9,0.257,0.0795,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.9,18,0.242,0.0473,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.5,16,0.193,0.0279,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,0,0.053,0.069,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.1,19,0.228,0.0074,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,5.2,5,0.017,0.0739,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.2,9,0.036,0.0747,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.0,2,0.178,0.0517,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.9,10,0.098,0.0361,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,11,0.014,0.0345,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.8,13,0.115,0.0357,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.8,4,0.052,0.0655,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.6,19,0.087,0.0418,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,9,0.216,0.0776,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,17,0.149,0.0278,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.5,1,0.258,0.0575,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.9,20,0.203,0.0098,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,1.6,18,0.196,0.0041,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.9,4,0.104,0.061,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,4,0.141,0.0435,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.4,11,0.121,0.0268,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.7,10,0.11,0.0224,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.6,12,0.23,0.0455,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.1,1,0.091,0.0778,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.8,13,0.208,0.0185,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,8.3,20,0.277,0.0666,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,8,0.269,0.0065,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,7.9,6,0.195,0.0399,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.6,0,0.278,0.0178,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.0,17,0.129,0.0143,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,2.1,19,0.037,0.0769,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,18,0.116,0.0391,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,8,0.063,0.0296,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,7,0.241,0.0733,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.0,4,0.149,0.063,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.2,18,0.138,0.0627,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.6,18,0.061,0.0644,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.3,5,0.146,0.0182,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,0.5,7,0.184,0.0381,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.1,7,0.248,0.0762,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,15,0.212,0.056,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.0,13,0.132,0.0716,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,17,0.071,0.0191,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,12,0.118,0.0535,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,15,0.267,0.0282,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.9,16,0.253,0.0745,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,10,0.027,0.0263,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,5,0.264,0.0285,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,7,0.156,0.0217,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.3,16,0.235,0.0373,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,17,0.045,0.0287,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,13,0.052,0.0128,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.3,0,0.263,0.0179,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,7.2,19,0.168,0.0571,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.5,18,0.125,0.0194,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,7.7,1,0.202,0.0221,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.6,9,0.181,0.0575,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,5,0.157,0.0796,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.3,17,0.187,0.0533,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.2,9,0.173,0.0635,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,17,0.187,0.0721,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.4,20,0.195,0.0105,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,6.0,0,0.208,0.0787,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.0,9,0.111,0.0475,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.9,20,0.125,0.0427,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,1,0.045,0.0144,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.4,3,0.046,0.0771,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,1,0.068,0.0094,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,1,0.161,0.0019,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,3,0.175,0.0031,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,0,0.015,0.0352,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.9,3,0.274,0.0383,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.1,20,0.136,0.0568,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,13,0.201,0.0571,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,6,0.212,0.0375,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,2,0.112,0.045,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.9,14,0.069,0.0674,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.7,8,0.161,0.0738,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,19,0.235,0.0298,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.3,16,0.15,0.0623,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.9,10,0.055,0.0055,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.3,19,0.073,0.0759,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,7,0.056,0.0627,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.4,8,0.104,0.0671,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.9,15,0.086,0.0666,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.5,9,0.268,0.0659,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.8,10,0.05,0.0792,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,19,0.158,0.0136,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,5.9,8,0.146,0.0015,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.8,11,0.176,0.0635,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.2,13,0.028,0.0611,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.7,5,0.276,0.0283,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.4,18,0.119,0.0622,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.4,2,0.136,0.0678,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.2,13,0.067,0.0808,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.8,20,0.163,0.0362,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.6,12,0.131,0.0611,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.6,0,0.126,0.0179,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,2.3,6,0.138,0.0551,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.8,19,0.078,0.0142,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.0,8,0.063,0.0272,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.0,12,0.215,0.0539,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.0,19,0.228,0.0267,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.7,13,0.044,0.0054,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,1,0.17,0.074,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.5,8,0.252,0.0333,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.9,17,0.247,0.0617,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.5,16,0.246,0.0314,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.9,20,0.109,0.0083,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,3.8,7,0.197,0.0701,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.7,18,0.211,0.0583,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.2,12,0.254,0.06,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.7,3,0.217,0.0621,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,16,0.146,0.0705,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.2,6,0.187,0.01,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,1.1,18,0.114,0.0702,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.2,15,0.222,0.0787,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,13,0.062,0.0729,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.8,13,0.159,0.0581,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.9,15,0.189,0.0309,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.7,16,0.261,0.0756,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.5,6,0.054,0.0118,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.3,9,0.065,0.0796,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,19,0.132,0.0492,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.6,5,0.2,0.0669,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.1,0,0.129,0.0181,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,10.8,13,0.114,0.0197,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,6.1,5,0.225,0.0119,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,9.8,20,0.186,0.0557,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.7,3,0.08,0.0119,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.1,0,0.221,0.0275,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.8,12,0.016,0.0491,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,17,0.247,0.0213,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.7,18,0.268,0.0023,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.6,9,0.161,0.0696,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.9,8,0.18,0.0797,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.3,3,0.139,0.057,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,14,0.104,0.0373,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.5,16,0.091,0.0271,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.0,6,0.086,0.0435,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.4,19,0.034,0.0101,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.7,12,0.183,0.0402,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,5,0.017,0.0294,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.2,18,0.091,0.0432,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.2,16,0.144,0.0567,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.8,9,0.141,0.0263,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,0.7,11,0.158,0.0438,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.2,7,0.033,0.0415,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,6,0.05,0.0449,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.3,2,0.083,0.0328,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.0,14,0.025,0.0483,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,14,0.086,0.0584,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.2,7,0.018,0.0386,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.8,16,0.102,0.0503,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.0,13,0.094,0.0389,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.6,4,0.109,0.0676,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.8,19,0.149,0.0517,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.8,11,0.243,0.0404,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.6,13,0.106,0.0452,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.8,1,0.064,0.0488,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,3,0.019,0.0709,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.7,16,0.183,0.0744,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,6,0.129,0.0802,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.5,12,0.265,0.036,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.4,11,0.168,0.0574,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,4,0.061,0.0243,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,14,0.144,0.0025,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.4,16,0.156,0.0108,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,1.7,1,0.109,0.0395,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.4,2,0.121,0.0238,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,5.3,4,0.143,0.0097,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,4.4,10,0.107,0.028,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.1,3,0.171,0.0689,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.7,20,0.123,0.0209,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.3,20,0.222,0.0326,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.4,3,0.267,0.0437,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,1.0,2,0.182,0.0532,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,10.9,9,0.172,0.0145,1,0,1,0
Aluminum Alloy,35.45,2870,0.26,5.3,0,0.04,0.0051,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,6.3,2,0.03,0.0069,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,8.4,3,0.227,0.0212,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.9,15,0.112,0.0543,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.0,1,0.019,0.0681,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.5,1,0.041,0.0432,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.7,7,0.056,0.0798,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,4.4,18,0.042,0.0317,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,3.4,2,0.276,0.0124,0,0,0,0
Aluminum Alloy,35.45,2870,0.26,2.0,9,0.067,0.0261,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,7.5,8,0.268,0.0319,1,0,0,0
Aluminum Alloy,35.45,2870,0.26,9.3,13,0.058,0.0549,0,0,0,0
