Material Type,Material Hardness Number,Desity,Poissons Ratio,Radius,Tolerance,Surface finish,End Milling-Rough operation,End Milling-Semi finish operation,End Milling-Finish operation
Aluminum Alloy,35.45,2870,0.26,6,0.142,0.0208,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.057,0.0051,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.073,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.133,0.0183,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.106,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.005,0.0011,1,1,1
Aluminum Alloy,35.45,2870,0.26,4,0.119,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.141,0.0123,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.158,0.0117,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.082,0.0149,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.025,0.0034,1,1,0
Aluminum Alloy,35.45,2870,0.26,1,0.151,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.129,0.0031,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.065,0.0195,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.168,0.0132,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.019,0.019,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.148,0.0028,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.166,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.081,0.0101,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.144,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.018,0.0045,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.164,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.058,0.0091,1,1,0
Aluminum Alloy,35.45,2870,0.26,1,0.041,0.0104,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.189,0.0099,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.178,0.0106,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.007,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.135,0.0203,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.115,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.072,0.0069,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.084,0.0123,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.124,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.136,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.154,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.053,0.014,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.019,0.0163,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.152,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.072,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.147,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.073,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.079,0.0181,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.088,0.0137,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.058,0.0031,1,1,0
Aluminum Alloy,35.45,2870,0.26,6,0.04,0.0035,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.173,0.003,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.161,0.0033,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.148,0.0029,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.084,0.0197,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.108,0.0185,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.033,0.0152,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.12,0.0063,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.106,0.0048,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.019,0.0019,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.118,0.0034,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.189,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.079,0.0029,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.113,0.0162,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.104,0.0083,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.092,0.0139,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.175,0.0055,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.098,0.0029,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.1,0.0088,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.07,0.0062,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.119,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.005,0.0103,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.104,0.0139,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.157,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.157,0.0123,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.025,0.0013,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.184,0.0193,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.044,0.018,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.141,0.0093,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.163,0.0011,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.007,0.0198,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.07,0.006,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.082,0.0123,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.122,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.028,0.0079,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.15,0.0029,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.038,0.0105,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.068,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.131,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.02,0.0179,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.174,0.0125,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.155,0.0099,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.049,0.0084,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.116,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.04,0.0182,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.08,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.143,0.0056,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.082,0.0151,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.026,0.002,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.185,0.0113,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.167,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.016,0.0093,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.032,0.0146,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.014,0.0187,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.056,0.0121,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.061,0.0166,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.117,0.0177,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.015,0.0184,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.179,0.0027,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.104,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.168,0.018,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.088,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.157,0.0119,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.175,0.0064,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.148,0.0105,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.035,0.0195,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.123,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.05,0.0081,1,1,0
Aluminum Alloy,35.45,2870,0.26,5,0.176,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.035,0.0033,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.138,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.096,0.0006,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.072,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.039,0.0181,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.122,0.003,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.02,0.0076,1,1,0
Aluminum Alloy,35.45,2870,0.26,1,0.135,0.0138,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.166,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.014,0.0193,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.067,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.047,0.0092,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.019,0.005,1,1,0
Aluminum Alloy,35.45,2870,0.26,1,0.167,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.068,0.0187,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.1,0.0202,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.167,0.005,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.031,0.0051,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.039,0.0111,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.161,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.011,0.0154,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.063,0.0193,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.152,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.042,0.0088,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.18,0.0091,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.145,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.005,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.019,0.0168,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.184,0.0092,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.184,0.0096,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.071,0.0128,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.015,0.0023,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.132,0.0136,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.171,0.0131,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.059,0.02,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.119,0.0109,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.103,0.0123,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.05,0.0075,1,1,0
Aluminum Alloy,35.45,2870,0.26,5,0.054,0.0032,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.139,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.133,0.0048,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.184,0.0053,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.071,0.0143,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.079,0.0168,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.065,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.132,0.0183,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.081,0.0165,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.156,0.0108,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.038,0.0196,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.149,0.0066,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.032,0.0085,1,1,0
Aluminum Alloy,35.45,2870,0.26,6,0.124,0.0171,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.117,0.0079,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.089,0.0075,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.044,0.0192,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.152,0.0206,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.049,0.0018,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.091,0.0065,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.185,0.0015,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.003,0.0038,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.016,0.0083,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.187,0.0014,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.135,0.0122,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.086,0.0189,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.136,0.0052,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.179,0.0048,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.121,0.0158,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.145,0.0146,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.107,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.172,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.139,0.0074,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.127,0.0106,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.054,0.0052,1,1,0
Aluminum Alloy,35.45,2870,0.26,6,0.096,0.0114,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.122,0.0042,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.12,0.004,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.034,0.0141,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.122,0.0076,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.022,0.0117,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.174,0.011,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.052,0.0146,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.161,0.0151,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.121,0.0082,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.152,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.068,0.008,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.181,0.0007,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.131,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.164,0.0163,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.162,0.0121,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.077,0.0089,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.156,0.02,1,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.12,0.0159,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.081,0.0061,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.108,0.0068,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.159,0.0112,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.079,0.0087,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.156,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.177,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.171,0.014,1,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.068,0.015,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.165,0.0124,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.146,0.0021,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.137,0.0088,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.019,0.0162,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.05,0.0147,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.162,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.177,0.007,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.119,0.0146,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.1,0.002,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.133,0.0133,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.13,0.0081,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.079,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.149,0.0037,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.068,0.0072,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.143,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.04,0.0124,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.058,0.0197,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.141,0.0038,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.002,0.014,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.16,0.0194,1,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.141,0.0174,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.095,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.163,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.115,0.0152,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.072,0.0071,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.066,0.0043,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.143,0.0022,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.057,0.0209,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.165,0.0142,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.122,0.0154,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.09,0.0077,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.053,0.0204,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.185,0.0037,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.087,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.158,0.0134,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.071,0.0102,1,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.182,0.0173,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.153,0.0034,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.075,0.0179,1,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.065,0.0085,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.004,0.0191,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.154,0.0063,0,0,0
Aluminum Alloy,35.45,2870,0.26,0,0.136,0.0012,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.038,0.0027,1,1,0
Aluminum Alloy,35.45,2870,0.26,3,0.019,0.0059,1,1,0
Aluminum Alloy,35.45,2870,0.26,0,0.054,0.0084,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.167,0.0192,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.026,0.0145,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.053,0.0043,1,1,0
Aluminum Alloy,35.45,2870,0.26,2,0.14,0.001,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.172,0.0018,0,0,0
Aluminum Alloy,35.45,2870,0.26,6,0.185,0.0057,0,0,0
Aluminum Alloy,35.45,2870,0.26,1,0.058,0.0016,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.045,0.0083,1,1,0
Aluminum Alloy,35.45,2870,0.26,4,0.082,0.0049,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.176,0.0086,0,0,0
Aluminum Alloy,35.45,2870,0.26,3,0.093,0.0032,0,0,0
Aluminum Alloy,35.45,2870,0.26,2,0.157,0.021,0,0,0
Aluminum Alloy,35.45,2870,0.26,4,0.085,0.0161,1,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.007,0.0153,0,0,0
Aluminum Alloy,35.45,2870,0.26,5,0.071,0.0203,0,0,0
